Periodo,PIB Real
1960,13326609
1961,14015469
1962,14612686
1963,15495153
1964,15868596
1965,16032079
1966,17792727
1967,18438409
1968,19108994
1969,19900155
1970,20287272
1971,22189810
1972,21917865
1973,20816205
1974,21356240
1975,18569749
1976,19259665
1977,21252447
1978,22907290
1979,24875458
1980,26908865
1981,28710729
1982,25514172
1983,24141494
1984,25111568
1985,26183750
1986,27606975
1987,29394675
1988,31554912
1989,34702041
1990,35865469
1991,38653861
1992,42985500
1993,45901592
1994,48179871
1995,52493930
1996,56070719
1997,60069674
1998,62530098
1999,62188442
2000,65372654
2001,67508951
2002,69325028
2003,71940239
2004,76987661
2005,81742969
2006,86397688
2007,90856522
2008,93847932
2009,92875262
2010,98219034
2011,103954673
2012,109627615
2013,113987063
2014,116125911
2015,118525235
